encounter_id,version,image_avg,text_avg,sink_avg
ENC00002,v1,0.42406815416970345,0.20384674287348423,0.37208510457344773
ENC00003,v1,0.4669333322143013,0.19692781785587696,0.33613885363394563
ENC00004,v1,0.3529757160979968,0.23533749520683137,0.4116867897220147
ENC00006,v1,0.40009675920009613,0.16439497698161562,0.4355082667227519
ENC00007,v1,0.33316770163211196,0.26773139678842417,0.39910090673755816
ENC00008,v1,0.41808037286580996,0.21376935591877894,0.3681502723416617
ENC00013,v1,0.3718480229088404,0.19352677343322813,0.43462520505039437
ENC00014,v1,0.17051352902430378,0.3449098917413248,0.484576575355987
ENC00017,v1,0.31939003338115385,0.2621803137313838,0.4184296545055177
ENC00022,v1,0.4230670279010813,0.19637468910994046,0.3805582822954401
ENC00023,v1,0.3333912078072043,0.2188446044045336,0.4477641834932215
ENC00024,v1,0.21330246943980455,0.25241160690784453,0.5342859195545315
ENC00031,v1,0.3172269036824053,0.21214980121955954,0.470623294738206
ENC00034,v1,0.4396817064148256,0.209765594345571,0.3505527031147617
ENC00043,v1,0.21048129132289564,0.2198170180735963,0.5697016982215174
ENC00052,v1,0.34741531705690754,0.26854836552714306,0.3840363199512164
ENC00063,v1,0.32175637395293627,0.20508410907522948,0.4731595252675039
ENC00064,v1,0.28003898271076055,0.28320707729005296,0.43675394226675446
ENC00065,v1,0.4033100925227429,0.19210302689053277,0.4045868772775569
ENC00067,v1,0.3618112550604911,0.24183681731422743,0.39635192922183443
ENC00080,v1,0.423132723496284,0.22671793442633417,0.3501493458026721
ENC00081,v1,0.29957304960941966,0.24720123108429246,0.45322571317606336
ENC00084,v1,0.38228706579725696,0.18538148488568248,0.43233144775314153
ENC00088,v1,0.4904671713618413,0.1743113680005622,0.3352214595291512
ENC00089,v1,0.4632436322129291,0.20129034218742795,0.33546602871754894
ENC00090,v1,0.4396303082289903,0.1956941784238038,0.3646755190971105
ENC00096,v1,0.4370277641074998,0.17808476227278613,0.3848874722512401
ENC00098,v1,0.3544548689336567,0.2960587733394497,0.3494863462644619
ENC00103,v1,0.1855841637091729,0.19458480488545107,0.6198310367401364
ENC00106,v1,0.21402077614626985,0.21510319734745204,0.5708760230782184
ENC00111,v1,0.3375129471315402,0.17308586059468928,0.4894011928656391
ENC00113,v1,0.0,0.377857465881343,0.6221425320003547
ENC00121,v1,0.36002432830307796,0.20195289267955915,0.43802277938179346
ENC00125,v1,0.4018490540630677,0.2211826849509688,0.37696826273904127
ENC00128,v1,0.4721873179078102,0.19729966058262757,0.3305130196469171
ENC00130,v1,0.4411808588617557,0.1500598547627797,0.4087592844624777
ENC00133,v1,0.36169529906832254,0.19030565506993577,0.447999043819996
ENC00143,v1,0.343272738089716,0.24459858449106966,0.41212867697079975
ENC00149,v1,0.45182712376117706,0.1708028486988566,0.3773700253920512
ENC00151,v1,0.0,0.5500221711302561,0.4499778345463768
ENC00159,v1,0.22762054657297476,0.16549364537266747,0.6068858057260513
ENC00162,v1,0.3414465208969465,0.2260126454028778,0.432540831769385
ENC00164,v1,0.2259908091131743,0.25741898795807516,0.5165902035576957
ENC00167,v1,0.22100971350628956,0.1949313760132474,0.5840589106082916
ENC00170,v1,0.349936793731936,0.18291079559189788,0.4671524145593077
ENC00171,v1,0.42836011859566664,0.23645139593890932,0.3351884794443153
ENC00173,v1,0.3791236517706303,0.2566766007756344,0.36419973785829063
ENC00188,v1,0.26840734239443237,0.21628694106117788,0.5153057151530163
ENC00191,v1,0.442428595587319,0.19188637196944625,0.3656850276040096
ENC00192,v1,0.3206800794849793,0.34884285144507887,0.33047707205017407
ENC00193,v1,0.23166986885997984,0.24889732566144732,0.5194328092038631
ENC00202,v1,0.462228459934903,0.15629152964768755,0.3814800084274039
ENC00208,v1,0.20129293927715886,0.3507486041635275,0.4479584538688262
ENC00209,v1,0.35619547747467695,0.24245485707529282,0.40134965981307785
ENC00210,v1,0.3213847811596516,0.21910674721957782,0.4595084695670849
ENC00214,v1,0.0,0.5232834593454997,0.4767165356874466
ENC00217,v1,0.27853727030257386,0.23152445607064737,0.4899382713649954
ENC00237,v1,0.483608694622914,0.1701087319602569,0.34628257118165495
ENC00238,v1,0.40678724841429637,0.1593151970408284,0.4338975571669065
ENC00250,v1,0.3452501930024502,0.21661221942979925,0.43813758251005713
ENC00255,v1,0.2970500475651509,0.2989262985820706,0.4040236553630313
ENC00256,v1,0.37792189561940254,0.2892407621950545,0.33283733956991357
ENC00259,v1,0.48208719699881797,0.19021759383640316,0.3276952065007631
ENC00260,v1,0.3858596722400466,0.25972946100803307,0.3544108645860539
ENC00263,v1,0.18985182233154774,0.3211744847241789,0.48897368758916854
ENC00264,v1,0.365485090312067,0.24111487626374423,0.3934000301492083
ENC00267,v1,0.2975743007110922,0.17714139676995969,0.5252843059991535
ENC00270,v1,0.4629842972714607,0.14133126002876725,0.39568444555752896
ENC00271,v1,0.32964483268406924,0.20913320726581983,0.46122196271103255
ENC00272,v1,0.26815214401317966,0.23459348844847194,0.49725437026332925
ENC00275,v1,0.2020793715001721,0.24858284124026173,0.5493377905927206
ENC00289,v1,0.28258572246980024,0.301292053197284,0.4161222325386228
ENC00291,v1,0.38905706335889534,0.20752670570336124,0.4034162235069782
ENC00292,v1,0.28557391169961993,0.2181844827565518,0.49624161225753827
ENC00294,v1,0.48166303945084415,0.16358088521907727,0.35475607179105284
ENC00296,v1,0.4175118810876652,0.18443462268138924,0.3980534899014014
ENC00298,v1,0.3660387574852287,0.25317515278017366,0.380786095927288
ENC00304,v1,0.34711080216444457,0.32139757914202555,0.3314916142723063
ENC00306,v1,0.30202202477316925,0.30712506018471025,0.3908529087253239
ENC00310,v1,0.3090807130035845,0.2485940292911622,0.4423252574159104
ENC00319,v1,0.3379308341479883,0.2701203471004236,0.39194882170456213
ENC00323,v1,0.4082864919758361,0.20926657695647166,0.38244692916455475
ENC00326,v1,0.2718103813628356,0.31434838810107774,0.4138412216885222
ENC00327,v1,0.31062472905173444,0.21167778700703022,0.47769748442100757
ENC00329,v1,0.3962081434286159,0.20329322420951465,0.400498627482549
ENC00330,v1,0.38339884923054623,0.20549794738846167,0.4111032038927078
ENC00336,v1,0.39093043968499264,0.18530654221355358,0.42376301764884844
ENC00337,v1,0.3182643706478724,0.23015595609095038,0.4515796747149491
ENC00341,v1,0.3264906480908394,0.21082240841802088,0.46268695016061107
ENC00344,v1,0.3949238200187683,0.23530696687102318,0.36976921248435973
ENC00349,v1,0.2564314194507413,0.2621657926250588,0.4814027901980784
ENC00358,v1,0.0,0.5499157711035676,0.4500842324147622
ENC00359,v1,0.3867287484856395,0.23480982773683287,0.3784614240194296
ENC00360,v1,0.4082654595047563,0.21345753992324348,0.3782769906651843
ENC00362,v1,0.22254849019411363,0.3220029787993745,0.45544853218291936
ENC00368,v1,0.3488644800343356,0.20563470056423774,0.44550081874643055
ENC00372,v1,0.25061067866991804,0.23242410748119813,0.5169652140284159
ENC00376,v1,0.26875672445577736,0.2362034074962139,0.495039864673334
ENC00381,v1,0.30253083045993534,0.1765260184516332,0.520943154447845
ENC00382,v1,0.36344932615756986,0.23170062063727528,0.404850048199296
ENC00386,v1,0.3089894528190295,0.20924717718842387,0.48176336836540834
ENC00389,v1,0.289124280456605,0.16962837845813938,0.5412473426601752
ENC00390,v1,0.3573417282222133,0.24496281544040693,0.3976954525630725
ENC00392,v1,0.4170841780876873,0.2201903031179399,0.36272552082634935
ENC00393,v1,0.3367874463902244,0.2322840677880788,0.43092849190476573
ENC00402,v1,0.3704339679297026,0.1739087298948754,0.4556573005141439
ENC00403,v1,0.4221196986259298,0.19411000680733234,0.3837702838664359
ENC00405,v1,0.32972791938336343,0.249454624828074,0.42081745476513116
ENC00413,v1,0.34367155737993194,0.23171617002112838,0.4246122738937052
ENC00414,v1,0.36275339316814503,0.21538274701526192,0.4218638621746226
ENC00418,v1,0.34611745353074785,0.19731260776678297,0.45656993715687
ENC00419,v1,0.3024214148737382,0.2880515740725441,0.40952700851620105
ENC00424,v1,0.47265496098243437,0.16746510447816806,0.3598799297401497
ENC00428,v1,0.24543665908277035,0.2358175862337584,0.5187457555338092
ENC00432,v1,0.4337567737326026,0.22686577669810504,0.33937745336443187
ENC00433,v1,0.2973985587773116,0.24509363602037015,0.4575078045544417
ENC00435,v1,0.0,0.5860682648420333,0.4139317372441292
ENC00436,v1,0.28708216289476474,0.20119175402333542,0.511726086997256
ENC00441,v1,0.4119408455491066,0.2534023337438703,0.33465682089328763
ENC00443,v1,0.24348731145408808,0.21007892792569657,0.5464337621541584
ENC00444,v1,0.3262669256086959,0.21789260771731997,0.45584046840667725
ENC00451,v1,0.34165681976204115,0.2364165456383489,0.4219266370249291
ENC00453,v1,0.4069125527872684,0.17514203705805095,0.41794540875769676
ENC00456,v1,0.3686180864572525,0.281690076559782,0.34969184279441834
ENC00457,v1,0.44479935599448983,0.1765635141864755,0.3786371294268988
ENC00459,v1,0.37664160286558085,0.22756195543655033,0.3957964418263271
ENC00461,v1,0.3556996715210733,0.20266339644080117,0.4416369359408106
ENC00444,v1,0.3262669256086959,0.21789260771731997,0.45584046840667725
